ACCESSION_NUMBER	CIK	REGISTRANT_NAME	FILE_NUM	LEI	ADDRESS1	ADDRESS2	CITY	STATE	COUNTRY	ZIP	PHONE
0001592900-24-002147	0001592900	EA Series Trust	811-22961	5493004OW9VWINAYRX18	19 E Eagle Road		Havertown	US-PA	US	PA	2158829983
0001145549-24-067185	0000831114	RBB Fund, Inc.	811-05518	5493005KKD0GVHSW0D29	615 East Michigan Street		Milwaukee	US-WI	US	53202	262-378-6278
0001752724-24-244455	0000939934	SEI INSTITUTIONAL INVESTMENTS TRUST	811-07257	0N2JSH1PTH72JCCP2A88	ONE FREEDOM VALLEY DRIVE		OAKS	US-PA	US	19456	8003425734
0001752724-24-244484	0001078195	COMMUNITY CAPITAL TRUST	811-09221	549300YLQ4STUVR7R137	261 North University Drive	Suite 520	Plantation	US-FL	US	33324	9542177999
0001752724-24-244652	0001112996	AIM Counselor Series Trust (Invesco Counselor Series Trust)	811-09913	LZYC3CZ7P12IRF1LLV60	11 Greenway Plaza	Suite 1000	Houston	US-TX	US	77046-1173	800-959-4246
0001752724-24-244800	0001432353	GLOBAL X FUNDS	811-22209	5493003RA4QUTSYF1N15	605 Third Avenue	43rd Floor	NEW YORK	US-NY	US	10158	2126446110
0001752724-24-266347	0000878087	Templeton Developing Markets Trust	811-06378	549300ZJC3KUG08IH343	300 S.E. 2nd Street		Fort Lauderdale	US-FL	US	33301-1923	954-527-7500
0001145549-24-072746	0000815425	Columbia Funds Variable Insurance Trust	811-05199	549300293M2AM3RU8K52	290 Congress Street		Boston	US-MA	US	02110	800-345-6611
0001145549-24-072725	0001413032	Columbia Funds Variable Series Trust II	811-22127	54930017CSZ4UCL7G406	290 Congress Street		Boston	US-MA	US	02110	800-345-6611
0001145549-24-072720	0001413032	Columbia Funds Variable Series Trust II	811-22127	54930017CSZ4UCL7G406	290 Congress Street		Boston	US-MA	US	02110	800-345-6611
0001752724-24-266355	0001022804	Franklin Fund Allocator Series	811-07851	5493009BPYLDNZHEMO31	One Franklin Parkway		San Mateo	US-CA	US	94403-1906	650-312-2000
0001145549-24-072700	0001551950	Columbia ETF Trust I	811-22736	549300VCLUXT1UUFSM44	290 Congress Street		Boston	US-MA	US	02110	800-345-6611
0001752724-24-266374	0001928561	Bitwise Funds Trust	811-23801	549300P1JHTWCPFC1N08	250 MONTGOMERY STREET	SUITE 200	SAN FRANCISCO	US-CA	US	94104	(415) 707-3663
0002000324-24-003167	0000722885	Pear Tree Funds	811-03790	549300NANVEIFBMHLV32	55 OLD BEDFORD ROADSUITE 202		Lincoln	US-MA	US	01773	8003311244
0001752724-24-266361	0001022804	Franklin Fund Allocator Series	811-07851	5493009BPYLDNZHEMO31	One Franklin Parkway		San Mateo	US-CA	US	94403-1906	650-312-2000
0001145549-24-072738	0001413032	Columbia Funds Variable Series Trust II	811-22127	54930017CSZ4UCL7G406	290 Congress Street		Boston	US-MA	US	02110	800-345-6611
0002000324-24-003164	0000722885	Pear Tree Funds	811-03790	549300NANVEIFBMHLV32	55 OLD BEDFORD ROADSUITE 202		Lincoln	US-MA	US	01773	8003311244
0001752724-24-244686	0000842790	AIM Investment Securities Funds (Invesco Investment Securities Funds)	811-05686	G61U5I6LJJEX0O3SU057	11 Greenway Plaza	Suite 1000	Houston	US-TX	US	77046-1173	800-959-4246
0001752724-24-244665	0000908993	Invesco Advantage Municipal Income Trust II	811-07868	DA89O2CSN0WUDR74HM71	1331 Spring Street NW, Suite 2500	N.E.	Atlanta	US-GA	US	30309	800-959-4246
0001752724-24-244795	0001432353	GLOBAL X FUNDS	811-22209	5493003RA4QUTSYF1N15	605 Third Avenue	43rd Floor	NEW YORK	US-NY	US	10158	2126446110
0001752724-24-245167	0001039803	ProFunds	811-08239	549300HM4OOUYSE5DP77	7272 Wisconsin Avenue	21st Floor	Bethesda	US-MD	US	20814	240-497-6400
0001752724-24-245606	0000806633	WASATCH FUNDS TRUST	811-04920	549300B3CBVFTLZDYP46	505 WAKARA WAY	SUITE 300	SALT LAKE CITY	US-UT	US	84108	801-533-0777
0001145549-24-067550	0000831114	RBB Fund, Inc.	811-05518	5493005KKD0GVHSW0D29	615 East Michigan Street		Milwaukee	US-WI	US	53202	262-378-6278
0001752724-24-245191	0001039803	ProFunds	811-08239	549300HM4OOUYSE5DP77	7272 Wisconsin Avenue	21st Floor	Bethesda	US-MD	US	20814	240-497-6400
0002000324-24-003092	0000778206	SHELTON FUNDS	811-04417	254900S73SCF59AAL583	1875 Lawrence Street, Suite 300		Denver	US-CO	US	80202-1805	800-955-9888
0001752724-24-245172	0001039803	ProFunds	811-08239	549300HM4OOUYSE5DP77	7272 Wisconsin Avenue	21st Floor	Bethesda	US-MD	US	20814	240-497-6400
0001752724-24-245203	0001039803	ProFunds	811-08239	549300HM4OOUYSE5DP77	7272 Wisconsin Avenue	21st Floor	Bethesda	US-MD	US	20814	240-497-6400
0001145549-24-068082	0001359057	Manager Directed Portfolios	811-21897	549300WAC9XE08QLVP90	615 E. Michigan Street		Milwaukee	US-WI	US	53202	4145163123
0001398344-24-019730	0000803016	CALIFORNIA FIRST LEASING CORP	811-23782	894500AUBHBFB3137873	5000 BIRCH STREET	SUITE 500	NEWPORT BEACH	US-CA	US	92660	949-255-0500
0001752724-24-246693	0000736913	NEUBERGER BERMAN ADVISERS MANAGEMENT TRUST	811-04255	549300CYPOWBML1O3684	1290 AVENUE OF THE AMERICAS		NEW YORK	US-NY	US	10104	212-476-8800
0001752724-24-246692	0000736913	NEUBERGER BERMAN ADVISERS MANAGEMENT TRUST	811-04255	549300CYPOWBML1O3684	1290 AVENUE OF THE AMERICAS		NEW YORK	US-NY	US	10104	212-476-8800
0001162044-24-001228	0001031008	AZZAD FUNDS	811-08021	549300VPHQXB2JY2TE69	3141 Fairview Park Drive	Suite 355	Falls Church	US-VA	US	22042	703-207-7005
0001752724-24-247892	0000353905	Nationwide Variable Insurance Trust	811-03213	549300WLMVM3JP578846	One Nationwide Plaza Location:N0900	Mail Code 5-02-210T	Columbus	US-OH	US	43215	614-435-3820
0001162044-24-001243	0001539996	DSS AMERICAFIRST FUNDS	811-22669	549300KFIJ1ZWDPJB360	9700 Village Center Drive	Suite 50-N	Granite Bay	US-CA	US	95746	916-787-9940
0001145549-24-068862	0000071958	Nicholas Fund, Inc.	811-01728	549300Y74XY0WXZBQ563	411 E. Wisconsin Ave.	Suite 2100	Milwaukee	US-WI	US	53202	4142724650
0001162044-24-001237	0001539996	DSS AMERICAFIRST FUNDS	811-22669	549300KFIJ1ZWDPJB360	9700 Village Center Drive	Suite 50-N	Granite Bay	US-CA	US	95746	916-787-9940
0000894240-24-000032	0000894240	MONETTA TRUST	811-07360	549300S7TIZ7W7V6E398	1776-A S. Naperville Road	Suite 100	Wheaton	US-IL	US	60189-5831	630-462-9800
0001145549-24-068872	0001848758	NEOS ETF Trust	811-23645	549300Q4QMDLLFX8BQ98	13 Riverside Avenue		Westport	US-CT	US	06880	203-298-7300
0001145549-24-068940	0001709406	AIP Alternative Lending Fund P	811-23266	549300EMKW8WMY259802	100 Front Street	Suite 400	West Conshohocken	US-PA	US	19428	610-260-7600
0001752724-24-273803	0001308335	Eaton Vance Enhanced Equity Income Fund II	811-21670	549300N6ZBLPLGA31U67	One Post Office Square		BOSTON	US-MA	US	02109	617-482-8260
0001145549-24-075973	0001742912	Tidal ETF Trust	811-23377	549300VTYHP8U2332C46	234 West Florida Street	Suite 203	Milwaukee	US-WI	US	53204	844-986-7700
0001145549-24-075944	0001683471	Listed Funds Trust	811-23226	549300C5D73JL0P1YC11	615 East Michigan Street		Milwaukee	US-WI	US	53202	414-516-1692
0001145549-24-075825	0001511699	Managed Portfolio Series	811-22525	254900SQ3GG01NP4WM65	615 East Michigan Street		Milwaukee	US-WI	US	53202	414-516-1712
0001752724-24-273812	0000031266	EATON VANCE SPECIAL INVESTMENT TRUST	811-01545	5493003X08Y3GH1CDY86	One Post Office Square		BOSTON	US-MA	US	02109	617-482-8260
0002000324-24-003314	0001843263	Tactical Investment Series Trust	811-23631	5493006GAMP0G864BR33	11726 Seven Gables Road		Cincinnati	US-OH	US	45249	631-470-2688
0001145549-24-075953	0001976877	Madison ETFs Trust	811-23875	5493000I8Q6MKWCG2407	550 SCIENCE DRIVE		Madison	US-WI	US	53711	800-767-0300
0001752724-24-273810	0000319676	Calvert Management Series	811-03101	549300JLDDCMBLNYVQ38	2050 M Street NW		Washington	US-DC	US	20036	202-238-2200
0001752724-24-273646	0001597934	abrdn ETFs	811-22986	54930044UD4VERB62W69	1900 Market Street	Suite 200	Philadelphia	US-PA	US	19103	844-383-7289
0001752724-24-273838	0000102818	EATON VANCE SERIES TRUST	811-02589	549300VZGIW835PINP74	One Post Office Square		BOSTON	US-MA	US	02109	617-482-8260
0001752724-24-273913	0001689873	GraniteShares ETF Trust	811-23214	549300ODHHSS5JB0RB94	222 Broadway 21st Floor		NEW YORK	US-NY	US	10038	16468765143
0001752724-24-273973	0001027263	EQ Advisors Trust	811-07953	549300Q691FLN6WHB832	1345 Avenue of the Americas		New York	US-NY	US	10105	212-554-1234
